freqs,times,roi,power,degree,coreness,efficiency
11.0,2,a13,2.2489128,-0.38291204,-0.5943128,0.40625018
11.0,2,V4,2.3803155,0.52594167,0.74654603,0.050934874
11.0,2,V3,6.066908,2.133585,0.919769,1.4489506
11.0,2,a11,3.2152107,0.7806641,0.49069208,0.92220736
11.0,2,a45A,3.4513204,-0.04716898,0.46979454,1.0383027
11.0,2,a24D,0.94273454,1.019329,1.2995732,1.0959989
11.0,3,a46D,2.290036,0.7104965,0.63044655,0.9911881
11.0,3,a8B,2.313586,1.9832864,2.233026,2.369037
11.0,3,F6,-1.3392467,1.0753952,2.7682555,1.243824
11.0,3,a9/46D,1.8233933,-0.22981045,-0.017959405,-0.312164
11.0,3,a8M,4.494112,1.8510827,1.7455422,2.4640708
11.0,3,F7,2.8140721,1.7852808,0.41554153,1.2265697
11.0,3,a8r,3.937575,1.1118072,1.2416116,0.7109655
11.0,3,a8L,3.9528542,2.684916,2.2764215,3.1166177
11.0,3,F2,2.0335355,0.068071604,0.20818928,-0.78788114
11.0,3,a44,-1.2507464,-0.9189773,-1.4233642,-0.86265844
11.0,3,F1,2.0174723,0.62618923,2.047607,-0.4695067
11.0,3,a3,0.58349586,1.3516614,0.94607085,0.9619297
11.0,3,a2,0.37229604,1.3961446,0.97494483,0.97511274
11.0,3,a1,0.9983746,0.163099,-0.328913,0.5287015
11.0,3,a7B,2.5288293,1.3539753,1.7669767,2.5839632
11.0,3,AIP,2.4253728,2.3860111,0.448973,1.9583871
11.0,3,a5,2.8298612,2.622496,2.0669007,1.2704386
11.0,3,TPt,0.9822459,-0.18970786,-0.62305075,-0.2319955
11.0,3,a7A,2.8841777,1.7068261,0.5192792,0.5677153
11.0,3,V4t,2.5183718,1.0226991,0.64955974,1.0866553
11.0,3,DP,4.2459335,1.9554238,1.477244,0.9638013
11.0,3,MT,5.6865363,1.2441847,1.2248377,1.5417849
11.0,3,V6A,1.588981,2.179044,1.9474059,1.1969644
11.0,3,PIP,1.6709538,2.4194531,2.3252518,2.0435562
11.0,3,V2,11.262464,3.3313766,3.003316,4.787575
11.0,3,V1,16.120811,4.433831,4.8263855,6.13715
11.0,3,LIP,2.6842659,3.3815007,3.2645276,2.6457067
11.0,3,a24c,1.5763625,-0.56180984,-0.9517886,-0.18003945
11.0,3,STPc,4.6626396,0.94506687,-0.15041897,-0.561803
11.0,3,VIP,2.220666,0.4110624,-0.7399447,-0.033331968
11.0,3,Thal,-1.6833069,-2.9196315,-3.6410162,-1.2398561
11.0,3,MST,2.6120915,-1.1169764,-1.2198575,-0.5019264
11.0,3,a46V,1.7089415,0.2636948,-1.1686057,0.8214658
11.0,3,Putamen,-2.0510824,-1.069615,-2.248344,-0.92800355
11.0,3,Ins,0.22489224,-1.3804611,-0.57287425,-0.95943594
11.0,3,Caudate,-0.87227035,-0.62611574,-1.5863667,0.302031
11.0,3,a7op,0.89481527,0.57319945,-0.17211872,0.79786694
11.0,3,MB,0.22928612,1.2947863,1.7102731,-1.7110596
11.0,3,a32,1.3251948,0.636861,1.0551372,1.1397537
11.0,3,MIP,1.6190652,-0.01656057,0.86710936,-0.6587392
11.0,3,a13,-0.02807836,-2.1216426,-2.6773338,-1.1574537
